Distance, Angle
2.09,623.00
2.09,631.00
2.08,636.00
2.07,707.00
2.07,707.00
2.06,708.00
2.06,711.00
2.05,708.00
2.04,708.00
2.04,708.00
2.03,708.00
2.02,708.00
2.02,708.00
2.01,709.00
2.01,710.00
2.00,715.00
1.99,716.00
1.99,716.00
1.98,718.00
1.98,718.00
1.97,718.00
1.96,722.00
1.96,724.00
1.95,729.00
1.94,722.00
1.94,723.00
1.93,728.00
1.93,723.00
1.92,723.00
1.91,723.00
1.91,727.00
1.90,723.00
1.90,727.00
1.89,727.00
1.88,729.00
1.88,729.00
1.87,733.00
1.87,734.00
1.86,735.00
1.85,734.00
1.85,735.00
1.84,736.00
1.83,740.00
1.83,740.00
1.82,745.00
1.82,746.00
1.81,750.00
1.80,750.00
1.80,752.00
1.79,754.00
1.79,754.00
1.78,755.00
1.77,766.00
1.77,768.00
1.76,770.00
1.75,770.00
1.75,773.00
1.74,773.00
1.74,773.00
1.73,773.00
1.72,777.00
1.72,779.00
1.71,779.00
1.71,788.00
1.70,788.00
1.69,788.00
1.69,789.00
1.68,791.00
1.67,792.00
1.67,792.00
1.66,791.00
1.66,494.00
1.65,455.00
1.64,444.00
1.64,444.00
1.63,444.00
1.63,439.00
1.62,434.00
1.61,434.00
1.61,434.00
1.60,434.00
1.59,442.00
1.59,461.00
1.58,461.00
1.58,465.00
1.57,482.00
1.56,485.00
1.56,485.00
1.55,480.00
1.55,485.00
1.54,492.00
1.53,492.00
1.53,492.00
1.52,505.00
1.51,511.00
1.51,520.00
1.50,0.00
1.50,7.00
1.49,0.00
1.48,7.00
1.48,0.00
1.47,7.00
1.47,0.00
1.46,0.00
1.45,0.00
1.45,0.00
1.44,0.00
1.43,7.00
1.43,0.00
1.42,0.00
1.42,7.00
1.41,0.00
1.40,0.00
1.40,0.00
1.39,0.00
1.39,0.00
1.38,0.00
1.37,0.00
1.37,0.00
1.36,0.00
1.35,0.00
1.35,0.00
1.34,0.00
1.34,0.00
1.33,0.00
1.32,0.00
1.32,0.00
1.31,0.00
1.31,0.00
1.30,0.00
1.29,880.00
1.29,880.00
1.28,880.00
1.28,901.00
1.27,907.00
1.26,914.00
1.26,914.00
1.25,914.00
1.24,914.00
1.24,915.00
1.23,886.00
1.23,886.00
1.22,886.00
1.21,887.00
1.21,886.00
1.20,880.00
1.20,876.00
1.19,868.00
1.18,867.00
1.18,858.00
1.17,858.00
1.16,857.00
1.16,857.00
1.15,857.00
1.15,855.00
1.14,855.00
1.13,854.00
1.13,854.00
1.12,854.00
1.12,854.00
1.11,854.00
1.10,851.00
1.10,848.00
1.09,847.00
1.08,843.00
1.08,843.00
1.07,843.00
1.07,847.00
1.06,907.00
1.05,1017.00
1.05,1053.00
1.04,1583.00
1.04,1637.00
1.03,1666.00
1.02,1690.00
1.02,1709.00
1.01,1741.00
1.00,1769.00
1.00,1769.00
0.99,1769.00
0.99,1582.00
0.98,1524.00
0.97,1522.00
0.97,1512.00
0.96,1510.00
0.96,1510.00
0.95,1502.00
0.94,1499.00
0.94,1499.00
0.93,1498.00
0.92,1493.00
0.92,1489.00
0.91,1485.00
0.91,1489.00
0.90,1489.00
0.89,1516.00
0.89,1608.00
0.88,0.00
0.88,0.00
0.87,0.00
0.86,0.00
0.86,0.00
0.85,2953.00
0.84,2949.00
0.84,2949.00
0.83,2949.00
0.83,2941.00
0.82,2936.00
0.81,2907.00
0.81,2902.00
0.80,2890.00
0.80,2871.00
0.79,2867.00
0.78,2864.00
0.78,2856.00
0.77,2856.00
0.77,2855.00
0.76,2853.00
0.75,2843.00
0.75,2842.00
0.74,2836.00
0.73,2836.00
0.73,2835.00
0.72,2834.00
0.72,2833.00
0.71,2831.00
0.70,2830.00
0.70,2827.00
0.69,2824.00
0.69,2824.00
0.68,2822.00
0.67,2821.00
0.67,2812.00
0.66,2812.00
0.65,2810.00
0.65,2811.00
0.64,2810.00
0.64,2810.00
0.63,2807.00
0.62,2805.00
0.62,2803.00
0.61,2803.00
0.61,2803.00
0.60,2803.00
0.59,2803.00
0.59,2803.00
0.58,2802.00
0.57,2802.00
0.57,2800.00
0.56,2800.00
0.56,2797.00
0.55,2797.00
0.54,2797.00
0.54,2800.00
0.53,2800.00
0.53,2802.00
0.52,2802.00
0.51,2806.00
0.51,2808.00
0.50,2870.00
0.49,2877.00
0.49,2892.00
0.48,2892.00
0.48,2892.00
0.47,2886.00
0.46,2785.00
0.46,2785.00
0.45,2698.00
0.45,2606.00
0.44,2544.00
0.43,2540.00
0.43,2539.00
0.42,2540.00
0.41,2544.00
0.41,2544.00
0.40,2551.00
